ID,name,minimum_level,maximum_level,empty1,ID,name,minimum_level,fecundity,palu_refresh_type,night_only,refresh_area,empty1,ID,name,maximum level,palu_refresh_type,night_only,refresh_area
15,Tikar,3,14,0,15,Tikar,3,1390,Creeps,yes,grassland,0,14,Tamamo fox,13,Random dungeon boss,0,dungeon
16,pot elephant,1,13,0,15,Tikar,3,1390,Creeps,yes,islands,0,15,Tikar,14,Creeps,yes,grassland
17,Look at the devil,3,14,0,16,pot elephant,1,1490,Creeps,0,grassland,0,16,pot elephant,13,Random dungeon boss,0,dungeon
18,Miruffy,2,14,0,17,Look at the devil,3,1380,Creeps,yes,grassland,0,17,Look at the devil,14,Creeps,yes,grassland
19,sleep demon,3,15,0,17,Look at the devil,3,1380,Creeps,yes,islands,0,18,Miruffy,14,Creeps,0,grassland
20,sage pig,2,13,0,18,Miruffy,2,1455,Creeps,0,grassland,0,19,sleep demon,15,Creeps,0,dungeon
21,Lunati,3,19,0,18,Miruffy,2,1455,Creeps,0,islands,0,20,sage pig,13,Random dungeon boss,0,dungeon
22,Escape Rat,5,40,0,19,sleep demon,3,1230,Creeps,yes,grassland,0,21,Lunati,19,Random dungeon boss,0,dungeon
23,squid,5,13,0,20,sage pig,2,1130,Creeps,0,islands,0,22,Escape Rat,40,Random dungeon boss,0,dungeon
24,ice cream,30,45,0,21,Lunati,3,1180,Creeps,yes,islands,0,23,squid,13,Random dungeon boss,0,dungeon
24,Meowster,5,15,0,22,Escape Rat,5,1220,Creeps,0,dungeon,0,24,ice cream,45,Random dungeon boss,0,dungeon
25,Rumiel,2,13,0,23,squid,5,1290,Creeps,0,dungeon,0,24,Meowster,15,Creeps,0,dungeon
26,hunting wolves,4,15,0,24,ice cream,30,1440,Creeps,0,Snow,0,25,Rumiel,13,Random dungeon boss,0,dungeon
27,Fried egg bird,11,40,0,24,Meowster,5,1480,Creeps,0,dungeon,0,26,hunting wolves,15,Creeps,0,grassland
28,Bona Rabbit,10,29,0,25,Rumiel,2,870,Creeps,0,grassland,0,27,Fried egg bird,40,Random dungeon boss,0,dungeon
29,Boba Cow,10,19,0,26,hunting wolves,4,1060,Creeps,0,islands,0,28,Bona Rabbit,29,Random dungeon boss,0,dungeon
30,Thorn Fairy,16,29,0,27,Fried egg bird,11,1340,Creeps,0,grassland,0,29,Boba Cow,19,Random dungeon boss,0,dungeon
31,Sharkboy,20,29,0,28,Bona Rabbit,10,1280,event,0,Random events,0,30,Thorn Fairy,29,Random dungeon boss,0,dungeon
31,red shark,25,38,0,29,Boba Cow,10,910,Creeps,0,grassland,0,31,red shark,38,Random dungeon boss,0,dungeon
32,Hanging spirit,14,40,0,30,Thorn Fairy,16,1320,Creeps,0,forest,0,31,Sharkboy,29,Random dungeon boss,0,dungeon
32,Icebound Spirit,33,35,0,31,red shark,25,1100,Creeps,0,volcano,0,32,Icebound Spirit,35,Creeps,yes,Snow
33,Ye Panda,25,29,0,31,Sharkboy,20,1090,Creeps,0,forest,0,32,Hanging spirit,40,Random dungeon boss,0,dungeon
33,Lei Panda,31,37,0,32,Icebound Spirit,33,1422,Creeps,yes,Snow,0,33,Ye Panda,29,Random dungeon boss,0,dungeon
34,Marshmallow,14,19,0,32,Hanging spirit,14,1420,Random dungeon boss,0,dungeon,0,33,Lei Panda,37,Creeps,0,dungeon
35,bush sheep,6,41,0,32,Hanging spirit,14,1420,Creeps,0,grassland,0,34,Marshmallow,19,Random dungeon boss,0,dungeon
36,Melupa,5,17,0,33,Ye Panda,25,430,Creeps,0,forest,0,35,bush sheep,41,Creeps,0,Snow
37,Only a deer,18,22,0,33,Lei Panda,31,390,Wild BOSS,0,grassland,0,36,Melupa,17,Creeps,0,grassland
37,Zixia Deer,6,13,0,34,Marshmallow,14,1190,Creeps,0,grassland,0,37,Only a deer,22,Creeps,0,game reserve
38,Swift Falcon,9,40,0,34,Marshmallow,14,1190,Random dungeon boss,0,dungeon,0,37,Zixia Deer,13,Random dungeon boss,0,dungeon
39,Ji Xiaotu,2,19,0,35,bush sheep,6,930,Random dungeon boss,0,dungeon,0,38,Swift Falcon,40,Random dungeon boss,0,dungeon
40,Dark Demon Sheep,40,45,0,36,Melupa,5,890,Wild BOSS,0,grassland,0,39,Ji Xiaotu,19,Random dungeon boss,0,dungeon
40,Balrog Sheep,29,38,0,37,Only a deer,18,900,Creeps,0,game reserve,0,40,Dark Demon Sheep,45,Creeps,0,game reserve
41,Huan Yue Butterfly,18,29,0,37,Zixia Deer,6,920,Random dungeon boss,0,dungeon,0,40,Balrog Sheep,38,Random dungeon boss,0,dungeon
42,Blazing Ox,9,39,0,38,Swift Falcon,9,420,Creeps,0,grassland,0,41,Huan Yue Butterfly,29,Random dungeon boss,0,dungeon
43,Pa Pa Pa Catfish,14,38,0,39,Ji Xiaotu,2,1310,Creeps,0,islands,0,42,Blazing Ox,39,Creeps,0,Snow
44,Black Crow Hermit,12,40,0,40,Dark Demon Sheep,40,580,Creeps,0,game reserve,0,43,Pa Pa Pa Catfish,38,Random dungeon boss,0,dungeon
45,Hot-blooded lizard,15,38,0,40,Balrog Sheep,29,590,Creeps,0,volcano,0,44,Black Crow Hermit,40,Random dungeon boss,0,dungeon
45,punk lizard,29,40,0,41,Huan Yue Butterfly,18,490,Creeps,0,forest,0,45,punk lizard,40,Random dungeon boss,0,dungeon
46,Moonscythe Demon,12,29,0,42,Blazing Ox,9,790,Creeps,0,grassland,0,45,Hot-blooded lizard,38,Random dungeon boss,0,dungeon
47,Tianqinniao,9,29,0,43,Pa Pa Pa Catfish,14,895,Random dungeon boss,0,dungeon,0,46,Moonscythe Demon,29,Random dungeon boss,0,dungeon
48,Feather Archer,21,29,0,43,Pa Pa Pa Catfish,14,895,Wild BOSS,0,grassland,0,47,Tianqinniao,29,Random dungeon boss,0,dungeon
48,mountain shooter,30,40,0,44,Black Crow Hermit,12,1080,Creeps,yes,grassland,0,48,mountain shooter,40,Random dungeon boss,0,dungeon
49,Iron Fist Ape,18,29,0,45,punk lizard,29,1120,Creeps,0,volcano,0,48,Feather Archer,29,Random dungeon boss,0,dungeon
50,knight bee,20,25,0,45,Hot-blooded lizard,15,1140,Creeps,yes,volcano,0,49,Iron Fist Ape,29,Random dungeon boss,0,dungeon
51,queen bee,28,31,0,46,Moonscythe Demon,12,950,Creeps,yes,grassland,0,50,knight bee,25,Wild BOSS,0,forest
52,Laughing Nightmare Cat,17,29,0,47,Tianqinniao,9,1030,Creeps,0,grassland,0,51,queen bee,31,Wild BOSS,0,forest
53,Mao duster,7,27,0,48,mountain shooter,30,1000,Creeps,0,desert,0,52,Laughing Nightmare Cat,29,Random dungeon boss,0,dungeon
54,Dad Mao,11,32,0,48,Feather Archer,21,1020,event,0,Random events,0,53,Mao duster,27,Creeps,0,forest snow
55,Whirling Weasel,11,45,0,49,Iron Fist Ape,18,1040,event,0,Random events,0,54,Dad Mao,32,Creeps,0,forest snow
56,thunder wildebeest,7,31,0,50,knight bee,20,1070,Creeps,0,dungeon,0,55,Whirling Weasel,45,Random dungeon boss,0,dungeon
57,blowing snow fox,28,32,0,50,knight bee,20,1070,Creeps,0,forest,0,56,thunder wildebeest,31,Wild BOSS,0,grassland
58,fire unicorn,29,38,0,51,queen bee,28,330,Creeps,0,forest,0,57,blowing snow fox,32,Creeps,0,forest snow
58,evil unicorn,32,38,0,52,Laughing Nightmare Cat,17,510,Wild BOSS,0,grassland,0,58,fire unicorn,38,Random dungeon boss,0,dungeon
59,Deer in severe winter,25,45,0,53,Mao duster,7,1300,Wild BOSS,0,grassland,0,58,evil unicorn,38,Random dungeon boss,0,dungeon
60,thunder dog,30,40,0,54,Dad Mao,11,410,Wild BOSS,0,grassland,0,59,Deer in severe winter,45,Random dungeon boss,0,dungeon
61,Blue Flame Wolf,28,32,0,55,Whirling Weasel,11,800,Wild BOSS,0,grassland,0,60,thunder dog,40,Random dungeon boss,0,dungeon
62,Thunder Boy,29,40,0,56,thunder wildebeest,7,680,Creeps,0,grassland,0,61,Blue Flame Wolf,32,Creeps,yes,forest snow
63,Mystia,32,45,0,57,blowing snow fox,28,760,Creeps,0,forest snow,0,62,Thunder Boy,40,Random dungeon boss,0,dungeon
64,Thunder Guanlong,35,47,0,58,fire unicorn,29,360,Creeps,0,volcano,0,63,Mystia,45,Random dungeon boss,0,dungeon
64,Corolla dragon,10,39,0,58,fire unicorn,29,360,Wild BOSS,0,grassland,0,64,Corolla dragon,39,event,0,Random events
65,water-sliding snake,14,26,0,58,evil unicorn,32,240,Creeps,0,dungeon,0,64,Thunder Guanlong,47,Wild BOSS,0,desert
65,quicksand snake,30,40,0,59,Deer in severe winter,25,880,Creeps,0,forest snow,0,65,quicksand snake,40,Random dungeon boss,0,dungeon
66,Soul Eater,36,45,0,60,thunder dog,30,740,Creeps,0,desert,0,65,water-sliding snake,26,Creeps,yes,forest
67,Rock Crusher Turtle,17,40,0,61,Blue Flame Wolf,28,830,Creeps,yes,forest snow,0,66,Soul Eater,45,Random dungeon boss,0,dungeon
68,cat bat monster,5,45,0,62,Thunder Boy,29,1210,Creeps,0,desert,0,67,Rock Crusher Turtle,40,Random dungeon boss,0,dungeon
69,fraternity lizard,18,40,0,63,Mystia,32,1110,Secret Domain BOSS,0,grassland,0,68,cat bat monster,45,Random dungeon boss,0,dungeon
70,Rong Yan Niang,9,38,0,64,Corolla dragon,10,820,Random dungeon boss,0,dungeon,0,69,fraternity lizard,40,Random dungeon boss,0,dungeon
71,Fenggelong,10,40,0,64,Thunder Guanlong,35,810,Creeps,0,desert,0,70,Rong Yan Niang,38,Random dungeon boss,0,dungeon
71,Frost Song Dragon,36,45,0,65,quicksand snake,30,550,Creeps,0,desert,0,71,Fenggelong,40,event,0,Random events
72,Wave Blade Samurai,23,45,0,65,water-sliding snake,14,560,Random dungeon boss,0,dungeon,0,71,Frost Song Dragon,45,Random dungeon boss,0,dungeon
73,Thunderbird,29,40,0,66,Soul Eater,36,1150,Creeps,yes,Snow,0,72,Wave Blade Samurai,45,Creeps,0,game reserve
74,Flamingo,34,38,0,67,Rock Crusher Turtle,17,850,Random dungeon boss,0,dungeon,0,73,Thunderbird,40,Random dungeon boss,0,dungeon
75,dark witch cat,20,29,0,68,cat bat monster,5,750,Creeps,yes,islands,0,74,Flamingo,38,Random dungeon boss,0,dungeon
76,Flame Witch Fox,16,38,0,69,fraternity lizard,18,940,Creeps,yes,grassland,0,75,dark witch cat,29,Random dungeon boss,0,dungeon
77,spring rabbit,35,45,0,70,Rong Yan Niang,9,1405,Creeps,0,volcano,0,76,Flame Witch Fox,38,Random dungeon boss,0,dungeon
78,Verita,18,38,0,71,Fenggelong,10,660,Creeps,0,grassland,0,77,spring rabbit,45,Creeps,0,game reserve
79,silk moth,36,45,0,71,Frost Song Dragon,36,620,Creeps,yes,Snow,0,78,Verita,38,Secret Domain BOSS,0,forest
80,Faerie Dragon,18,45,0,72,Wave Blade Samurai,23,640,Secret Domain BOSS,0,grassland,0,79,silk moth,45,Random dungeon boss,0,dungeon
81,Huo Linger,9,38,0,73,Thunderbird,29,220,Wild BOSS,0,grassland,0,80,Faerie Dragon,45,Random dungeon boss,0,dungeon
81,Shui Linger,9,19,0,74,Flamingo,34,380,Creeps,0,volcano,0,81,Shui Linger,19,Random dungeon boss,0,dungeon
82,Bihailong,17,22,0,75,dark witch cat,20,700,Creeps,0,dungeon,0,81,Huo Linger,38,Random dungeon boss,0,dungeon
83,Ice Thorn Beast,36,45,0,76,Flame Witch Fox,16,1160,Creeps,0,volcano,0,82,Bihailong,22,Creeps,0,game reserve
84,Hell King,33,38,0,77,spring rabbit,35,990,Secret Domain BOSS,0,forest,0,83,Ice Thorn Beast,45,Random dungeon boss,0,dungeon
84,Hellfire King,34,38,0,78,Verita,18,1050,Creeps,0,game reserve,0,84,Hellfire King,38,Random dungeon boss,0,dungeon
85,Pecorone,15,20,0,79,silk moth,36,450,Creeps,0,Snow,0,84,Hell King,38,Random dungeon boss,0,dungeon
85,Parker,31,31,0,80,Faerie Dragon,18,540,Creeps,0,game reserve,0,85,Pecorone,20,event,0,Random events
86,Allother,30,30,0,81,Shui Linger,9,1260,Creeps,0,grassland,0,85,Pecorone,20,Creeps,0,grassland
86,Lian Lilong,17,23,0,81,Huo Linger,9,1270,Creeps,0,volcano,0,85,Parker,31,Secret Domain BOSS,0,grassland
87,Hualina,18,28,0,82,Bihailong,17,500,Wild BOSS,0,grassland,0,86,Allother,30,Wild BOSS,0,grassland
88,Frost Beast,42,45,0,83,Ice Thorn Beast,36,130,Creeps,0,Snow,0,86,Lian Lilong,23,Wild BOSS,0,grassland
88,Lava Beast,34,38,0,84,Hellfire King,34,710,Creeps,0,volcano,0,87,Hualina,28,Secret Domain BOSS,0,forest
89,King Melupa,23,45,0,84,Hell King,33,670,Creeps,yes,volcano,0,88,Frost Beast,45,Random dungeon boss,0,dungeon
89,Ice Emperor Melpa,46,46,0,85,Pecorone,15,280,Creeps,0,grassland,0,88,Lava Beast,38,Random dungeon boss,0,dungeon
90,snow mammoth,41,45,0,85,Parker,31,270,Secret Domain BOSS,0,grassland,0,89,Ice Emperor Melpa,46,Wild BOSS,0,Snow
90,Mammoth,30,40,0,86,Allother,30,840,Wild BOSS,0,grassland,0,89,King Melupa,45,Creeps,0,game reserve
91,Green Moss Velvet,38,45,0,86,Lian Lilong,17,860,Creeps,0,grassland,0,90,Mammoth,40,Creeps,0,Snow
91,White Velvet Snow Monster,41,45,0,87,Hualina,18,780,Creeps,0,game reserve,0,90,snow mammoth,45,Random dungeon boss,0,dungeon
92,Kaigres,30,45,0,88,Frost Beast,42,230,Creeps,0,dungeon,0,91,White Velvet Snow Monster,45,Random dungeon boss,0,dungeon
93,Cloud sea deer,15,45,0,88,Frost Beast,42,230,Random dungeon boss,0,dungeon,0,91,Green Moss Velvet,45,Creeps,0,game reserve
94,Night Mephit,20,31,0,88,Lava Beast,34,320,Creeps,0,volcano,0,92,Kaigres,45,Creeps,0,game reserve
95,Tianyulong,23,45,0,89,Ice Emperor Melpa,46,440,Wild BOSS,0,Snow,0,93,Cloud sea deer,45,Creeps,0,game reserve
96,Flame Glory,40,49,0,89,King Melupa,23,470,Wild BOSS,0,grassland,0,94,Night Mephit,31,Wild BOSS,0,grassland
97,Thunderbird,24,28,0,90,Mammoth,30,300,Creeps,0,islands,0,95,Tianyulong,45,Random dungeon boss,0,dungeon
98,Demon Dragon,40,48,0,90,snow mammoth,41,290,Creeps,0,Snow,0,95,Tianyulong,45,Creeps,0,game reserve
99,Dark Armored Scorpion,40,45,0,91,White Velvet Snow Monster,41,460,Creeps,0,Snow,0,96,Flame Glory,49,Wild BOSS,0,volcano
100,Anubis,47,47,0,91,Green Moss Velvet,38,480,Wild BOSS,0,grassland,0,97,Thunderbird,28,Creeps,yes,forest
101,Sea-covering dragon,45,45,0,92,Kaigres,30,340,Secret Domain BOSS,0,forest,0,98,Demon Dragon,48,Wild BOSS,0,volcano
101,Teng Yanlong,40,45,0,93,Cloud sea deer,15,980,Wild BOSS,0,grassland,0,99,Dark Armored Scorpion,45,Creeps,0,game reserve
102,Qingque,42,45,0,94,Night Mephit,20,1010,Creeps,0,dungeon,0,100,Anubis,47,Wild BOSS,0,grassland
102,Suzaku,40,45,0,95,Tianyulong,23,350,Secret Domain BOSS,0,grassland,0,101,Teng Yanlong,45,Creeps,0,game reserve
103,Lightning Bear,18,22,0,96,Flame Glory,40,10,Creeps,0,game reserve,0,101,Sea-covering dragon,45,Wild BOSS,0,grassland
104,lily queen,40,45,0,97,Thunderbird,24,190,Creeps,yes,forest,0,102,Suzaku,45,Wild BOSS,0,desert
104,black moon queen,49,49,0,98,Demon Dragon,40,150,Creeps,0,game reserve,0,102,Qingque,45,Random dungeon boss,0,dungeon
105,Horus,40,45,0,99,Dark Armored Scorpion,40,260,Creeps,0,game reserve,0,103,Lightning Bear,22,Creeps,0,game reserve
106,Pollux,40,45,0,100,Anubis,47,570,Wild BOSS,0,grassland,0,104,lily queen,45,Creeps,0,game reserve
107,Heterogeneous Griffin,40,45,0,101,Teng Yanlong,40,315,Creeps,0,game reserve,0,104,black moon queen,49,Wild BOSS,0,Snow
108,Knight of Light,50,50,0,101,Sea-covering dragon,45,310,Wild BOSS,0,grassland,0,105,Horus,45,Creeps,0,game reserve
109,Chaos Knight,50,50,0,102,Suzaku,40,50,Creeps,0,desert,0,106,Pollux,45,Creeps,0,game reserve
110,Winter Caller,50,50,0,102,Qingque,42,30,Random dungeon boss,0,dungeon,0,107,Heterogeneous Griffin,45,Creeps,0,game reserve
111,Vortex Dragon,50,50,0,103,Lightning Bear,18,200,Creeps,0,game reserve,0,108,Knight of Light,50,Wild BOSS,0,desert
,0,0,0,0,104,lily queen,40,250,Creeps,0,game reserve,0,109,Chaos Knight,50,Wild BOSS,0,desert
,0,0,0,0,104,black moon queen,49,210,Wild BOSS,0,Snow,0,110,Winter Caller,50,Wild BOSS,0,Snow
,0,0,0,0,105,Horus,40,370,Creeps,0,game reserve,0,111,Vortex Dragon,50,Wild BOSS,0,volcano
,0,0,0,0,106,Pollux,40,140,Creeps,0,game reserve,0,0,0,0,0,0,
,0,0,0,0,107,Heterogeneous Griffin,40,60,Creeps,0,game reserve,0,0,0,0,0,0,
,0,0,0,0,108,Knight of Light,50,80,Wild BOSS,0,desert,0,0,0,0,0,0,
,0,0,0,0,109,Chaos Knight,50,70,Wild BOSS,0,desert,0,0,0,0,0,0,
,0,0,0,0,110,Winter Caller,50,120,Wild BOSS,0,Snow,0,0,0,0,0,0,
,0,0,0,0,111,Vortex Dragon,50,90,Wild BOSS,0,volcano,0,0,0,0,0,0,
